nctn,stis,stid
347357,7,ante 2022
347358,7,ante 2022
347359,7,ante 2022
347360,7,ante 2022
347361,7,ante 2022
347362,7,ante 2022
347363,200,ante 2022
347364,100,ante 2022
347365,100,ante 2022
347366,100,ante 2022
347367,100,ante 2022
347368,100,ante 2022
347369,200,ante 2022
347370,100,ante 2022
347371,200,ante 2022
347372,150000,ante 2022
347373,100,ante 2022
347374,10,ante 2022
347375,10,ante 2022
347377,10000,ante 2022
347378,300,ante 2022
347379,200,ante 2022
349148,6000,ante 2022
347381,50000,ante 2022
349147,1500,ante 2022
347383,100,ante 2022
347384,200000,ante 2022
350250,50000,ante 2022
349091,250000,ante 2022
349092,100000,ante 2022
349093,1000000,ante 2022
349094,400000,ante 2022
349101,1000000,ante 2022
349100,800000,ante 2022
349102,500000,ante 2022
347385,2000,ante 2022
347386,1700,ante 2022
347387,1800,ante 2022
347388,1800,ante 2022
347389,2000,ante 2022
347390,2000,ante 2022
347391,2000,ante 2022
347392,1700,ante 2022
347393,2000,ante 2022
347394,1800,ante 2022
347395,2500,ante 2022
347396,1200,ante 2022
347397,1700,ante 2022
347398,1500,ante 2022
347399,1200,ante 2022
347400,2000,ante 2022
328015,20,ante 2022
328016,2000,ante 2022
328017,1000,ante 2022
328018,500,ante 2022
328019,100,ante 2022
328020,50,ante 2022
328021,20,ante 2022
328022,20,ante 2022
327687,70,ante 2022
327688,70,ante 2022
327689,70,ante 2022
327690,50,ante 2022
327691,100,ante 2022
327692,60,ante 2022
327693,100,ante 2022
327694,50,ante 2022
327695,10,ante 2022
327686,1000,ante 2022
327696,2000,ante 2022
327697,20,ante 2022
327698,30,ante 2022
327699,20,ante 2022
327700,20,ante 2022
327701,20,ante 2022
348893,70000,ante 2022
348897,20000,ante 2022
348898,30000,ante 2022
328133,1000,ante 2022
328134,20000,ante 2022
333959,20000,ante 2022
347404,30000,ante 2022
347405,15000,ante 2022
347406,10000,ante 2022
347407,10000,ante 2022
347408,10000,ante 2022
329264,25000,ante 2022
329265,20000,ante 2022
329266,25000,ante 2022
329267,6000,ante 2022
329268,20000,ante 2022
329269,3000,ante 2022
329270,5000,ante 2022
329271,2500,ante 2022
329272,2000,ante 2022
329273,2500,ante 2022
329274,2000,ante 2022
329275,1500,ante 2022
329276,1800,ante 2022
329277,1800,ante 2022
329278,500,ante 2022
329282,50,ante 2022
329283,1000,ante 2022
329284,2000,ante 2022
329285,2000,ante 2022
329286,1000,ante 2022
329287,500,ante 2022
329288,400,ante 2022
329289,25,ante 2022
329290,25,ante 2022
329291,25,ante 2022
329292,25,ante 2022
328875,6,ante 2022
328876,7,ante 2022
328877,7,ante 2022
329293,2500,ante 2022
329294,3000,ante 2022
329295,800,ante 2022
329296,500,ante 2022
329297,2000,ante 2022
329298,2500,ante 2022
329299,2000,ante 2022
329300,1000,ante 2022
329302,1000,ante 2022
329303,1000,ante 2022
329304,1000,ante 2022
329305,100,ante 2022
329307,50,ante 2022
329308,100,ante 2022
329309,10000,ante 2022
329310,1000,ante 2022
329311,300,ante 2022
329312,1000,ante 2022
329313,50,ante 2022
329314,100,ante 2022
328023,1000,ante 2022
328024,500,ante 2022
328025,100,ante 2022
328026,1000,ante 2022
328027,600,ante 2022
328028,700,ante 2022
328029,600,ante 2022
328030,600,ante 2022
328031,400,ante 2022
328032,400,ante 2022
328033,400,ante 2022
328034,50,ante 2022
328035,500,ante 2022
